street_raw,postal_code,n_patients,normalized,site_class,is_facility_address,in_town_cochrane,counts_as_prior_residence,needs_review
509 32 QUIGLEY DR,T4C 1X9,1,509 32 QUIGLEY DR,Bethany Cochrane campus,1,1,0,0
509 - 32 QUIGLEY DR,T4C 1X9,1,509 32 QUIGLEY DR,Bethany Cochrane campus,1,1,0,0
BETHANY CARE COCHRANE LTC,T4C 1X9,1,BETHANY CARE COCHRANE LTC,Bethany Cochrane campus,1,1,0,0
BETHANY COCHRANE LTC,T4C 1M2,1,BETHANY COCHRANE LTC,Bethany Cochrane campus,1,1,0,0
BETHANY COCHRANE LTC 600 UNIT,T4C 1X9,1,BETHANY COCHRANE LTC 600 UNIT,Bethany Cochrane campus,1,1,0,0
BETHANY COCHRANE LTC - 600 UNIT,T4C 1X9,1,BETHANY COCHRANE LTC 600 UNIT,Bethany Cochrane campus,1,1,0,0
BETHANY COCHRANE LTC - 600UNIT,T4C 1X9,1,BETHANY COCHRANE LTC 600UNIT,Bethany Cochrane campus,1,1,0,0
BETHANY COCHRANE LTC - UNIT 800,T4C 1X9,1,BETHANY COCHRANE LTC UNIT 800,Bethany Cochrane campus,1,1,0,0
BETHANY COCHRANE LTC UNIT 800,T0L 0W4,1,BETHANY COCHRANE LTC UNIT 800,Bethany Cochrane campus,1,1,0,0
BETHANY LTC COCHRANE,T0L 0W4,1,BETHANY LTC COCHRANE,Bethany Cochrane campus,1,1,0,0
RM 400  1000 32 QUIGLEY DR,T4C 1X9,1,RM 400 1000 32 QUIGLEY DR,Bethany Cochrane campus,1,1,0,0
"200, 2915 - 26 AVE SE / BETHANY RIVERVIEW CDC",T4C 1X9,1,200 2915 26 AVE SE BETHANY RIVERVIEW CDC,Bethany Riverview (CALGARY!),1,0,0,0
101 98 CAROLINA DR,T4C 1X5,1,101 98 CAROLINA DR,Big Hill Lodge,1,1,0,0
101 98 CAROLINA DR -. BIG HILL  LODGE,T4C 1X5,1,101 98 CAROLINA DR BIG HILL LODGE,Big Hill Lodge,1,1,0,0
101 98 CAROLINA DR LODGE,T4C 1X5,1,101 98 CAROLINA DR LODGE,Big Hill Lodge,1,1,0,0
"134, 98 CAROLINA DR / BIG HILL LODGE",T4C 1X5,1,134 98 CAROLINA DR BIG HILL LODGE,Big Hill Lodge,1,1,0,0
20 98 CAROLINA DR,T4C 1X5,1,20 98 CAROLINA DR,Big Hill Lodge,1,1,0,0
20 98 CAROLINA DRIVE,T4C 1X5,1,20 98 CAROLINA DR,Big Hill Lodge,1,1,0,0
211 98 CAROLINA DR,T4C 1X5,1,211 98 CAROLINA DR,Big Hill Lodge,1,1,0,0
BIG HILL LODGE,T4C 1X5,1,BIG HILL LODGE,Big Hill Lodge,1,1,0,0
104 300 ROSS AVE [EVERGREEN MANOR SR APT],,1,104 300 ROSS AVE EVERGREEN MANOR SR APT,Evergreen Manor srs apt,1,1,0,0
205 300 EVERGREEN MANOR,T4L 1X4,1,205 300 EVERGREEN MANOR,Evergreen Manor srs apt,1,1,0,0
304 300 ROSS AVE,T4C 1X4,1,304 300 ROSS AVE,Evergreen Manor srs apt,1,1,0,0
EVERGREEN MANOR SRS APT,,1,EVERGREEN MANOR SRS APT,Evergreen Manor srs apt,1,1,0,0
1202-60 FIRESIDE GATE / HAWTHORNE SL4,T4L 1X4,1,1202 60 FIRESIDE GATE HAWTHORNE SL4,Hawthorne / Points West SL4 (Cochrane),1,1,0,0
1214 - 60 FIRESIDE GATE,T4C 2T9,1,1214 60 FIRESIDE GATE,Hawthorne / Points West SL4 (Cochrane),1,1,0,0
2111 - 60 FIRESIDE GATE,T4C 2T9,1,2111 60 FIRESIDE GATE,Hawthorne / Points West SL4 (Cochrane),1,1,0,0
4108 60 FIRESIDE GATE,T4C 2T9,1,4108 60 FIRESIDE GATE,Hawthorne / Points West SL4 (Cochrane),1,1,0,0
4108 60 FIRESIDE GATE,T4C 1G1,1,4108 60 FIRESIDE GATE,Hawthorne / Points West SL4 (Cochrane),1,1,0,0
4207 - 60 FIRESIDE GATE,T4C 2S9,1,4207 60 FIRESIDE GATE,Hawthorne / Points West SL4 (Cochrane),1,1,0,0
4207 - 60 FIRESIDE GATE / POINTS WEST LIVING SL4,T4C 2T9,1,4207 60 FIRESIDE GATE POINTS WEST LIVING SL4,Hawthorne / Points West SL4 (Cochrane),1,1,0,0
60 FIRESIDE GATE,T4C 2T9,1,60 FIRESIDE GATE,Hawthorne / Points West SL4 (Cochrane),1,1,0,0
60 FIRESIDE GATE (HAWTHORNE SL4),T4C 2T9,1,60 FIRESIDE GATE HAWTHORNE SL4,Hawthorne / Points West SL4 (Cochrane),1,1,0,0
64 MONTENARO BAY,T0B 3M3,1,64 MONTENARO BAY,Non-Cochrane postal (T0B),0,0,0,1
E212- 905 PROMINENCE WAY SW,T3H 6A8,1,E212 905 PROMINENCE WAY SW,Non-Cochrane postal (T3H),0,0,0,1
70 EVANSPARK MANOR NW,T3P 0N4,1,70 EVANSPARK MANOR NW,Non-Cochrane postal (T3P),0,0,0,1
2105 15 MARKET BLVD SE,T4A 3N2,1,2105 15 MARKET BLVD SE,Non-Cochrane postal (T4A),0,0,0,1
BOX 865,T4C 1A9,1,BOX 865,PO Box (no precise geography),0,0,0,1
PO BOX 1 STN MAIN,T4C 1A4,1,PO BOX 1 STN MAIN,PO Box (no precise geography),0,0,0,1
PO BOX 1270,T4C 1B3,1,PO BOX 1270,PO Box (no precise geography),0,0,0,1
PO BOX 1858 STN MAIN,T4C 1B7,1,PO BOX 1858 STN MAIN,PO Box (no precise geography),0,0,0,1
PO BOX 1883 STN MAIN,T4C 1B7,1,PO BOX 1883 STN MAIN,PO Box (no precise geography),0,0,0,1
PO BOX 189 STN MAIN,T4C 1A5,1,PO BOX 189 STN MAIN,PO Box (no precise geography),0,0,0,1
PO BOX 501,T4C 1A7,1,PO BOX 501,PO Box (no precise geography),0,0,0,1
PO BOX 961,T4C 1B1,1,PO BOX 961,PO Box (no precise geography),0,0,0,1
10  73 GLENBROOK CRES,T4C 1G1,1,10 73 GLENBROOK CRES,Private dwelling - Town of Cochrane,0,1,1,0
1000 ROCKYVIEW POINTE,T4C 0S7,1,1000 ROCKYVIEW POINTE,Private dwelling - Town of Cochrane,0,1,1,0
114 72 QUIGLEY DR,T4C 2K6,1,114 72 QUIGLEY DR,Private dwelling - Town of Cochrane,0,1,1,0
120 WEST TERRACE CRES,T4C 1R3,1,120 WEST TERRACE CRES,Private dwelling - Town of Cochrane,0,1,1,0
13-122 BOW RIDGE CRES,T4C 1V9,1,13 122 BOW RIDGE CRES,Private dwelling - Town of Cochrane,0,1,1,0
1303 625 GLENBOW DR,T4C 0S7,1,1303 625 GLENBOW DR,Private dwelling - Town of Cochrane,0,1,1,0
14 CAROLINA DR,T4C 1C2,1,14 CAROLINA DR,Private dwelling - Town of Cochrane,0,1,1,0
14 CAROLINA DR,,1,14 CAROLINA DR,Private dwelling - Town of Cochrane,0,1,1,0
15 GLENBROOK BAY,T4C 1E8,1,15 GLENBROOK BAY,Private dwelling - Town of Cochrane,0,1,1,0
15 GLENBROOK BAY (TEMPORARY),T4C 1E8,1,15 GLENBROOK BAY TEMPORARY,Private dwelling - Town of Cochrane,0,1,1,0
160-1000 GLENHAVEN WAY,T4C 2A1,1,160 1000 GLENHAVEN WAY,Private dwelling - Town of Cochrane,0,1,1,0
1605-32 HORSESHOE CR,T4C 2P4,1,1605 32 HORSESHOE CR,Private dwelling - Town of Cochrane,0,1,1,0
18 GLENEAGLES CLOSE,T4C 1N7,1,18 GLENEAGLES CLOSE,Private dwelling - Town of Cochrane,0,1,1,0
19 GLENBROOK CRES,T4C 1E7,1,19 GLENBROOK CRES,Private dwelling - Town of Cochrane,0,1,1,0
20 GLENEAGLES CLOSE,,1,20 GLENEAGLES CLOSE,Private dwelling - Town of Cochrane,0,1,1,0
"#205, 50 GRANDE AVE",T4C 2P6,1,205 50 GRANDE AVE,Private dwelling - Town of Cochrane,0,1,1,0
206 77 GEORGE FOX TR,T4C 0N1,1,206 77 GEORGE FOX TR,Private dwelling - Town of Cochrane,0,1,1,0
206-77 GEORGE FOX TRAIL,T4C 0N1,1,206 77 GEORGE FOX TRAIL,Private dwelling - Town of Cochrane,0,1,1,0
206 - 77 GEORGE FOX TRAIL,T4C 0N1,1,206 77 GEORGE FOX TRAIL,Private dwelling - Town of Cochrane,0,1,1,0
207 - 50 GRANDE BLVD,T4C 2G4,1,207 50 GRANDE BLVD,Private dwelling - Town of Cochrane,0,1,1,0
209 50 GRANDE BLVD,,1,209 50 GRANDE BLVD,Private dwelling - Town of Cochrane,0,1,1,0
209 50 GRANDE BLVD,T4C 2P6,1,209 50 GRANDE BLVD,Private dwelling - Town of Cochrane,0,1,1,0
232 GLENEAGLES ESTATES LANE,T4C 0E6,1,232 GLENEAGLES ESTATES LANE,Private dwelling - Town of Cochrane,0,1,1,0
232 GLENEAGLES ESTATES LANE,T4C 2H9,1,232 GLENEAGLES ESTATES LANE,Private dwelling - Town of Cochrane,0,1,1,0
28 GLENPATRICK PL,T4C 1H6,1,28 GLENPATRICK PL,Private dwelling - Town of Cochrane,0,1,1,0
28 GLENPATRICK PLACE,T4C 1H6,1,28 GLENPATRICK PLACE,Private dwelling - Town of Cochrane,0,1,1,0
29 GLENPATRICK PLACE,T4C 1H6,1,29 GLENPATRICK PLACE,Private dwelling - Town of Cochrane,0,1,1,0
296 SUNSET PT,T4C 0K8,1,296 SUNSET PT,Private dwelling - Town of Cochrane,0,1,1,0
3 GLENPORT RD,T4C 1G8,1,3 GLENPORT RD,Private dwelling - Town of Cochrane,0,1,1,0
3 HERITAGE BLVD,,1,3 HERITAGE BLVD,Private dwelling - Town of Cochrane,0,1,1,0
312 50 GRAND AVE,T4C 2P6,1,312 50 GRAND AVE,Private dwelling - Town of Cochrane,0,1,1,0
312 50 GRANDE AVE,T4C 2P6,1,312 50 GRANDE AVE,Private dwelling - Town of Cochrane,0,1,1,0
3212-625 GLENBOW DR,T4C 0S9,1,3212 625 GLENBOW DR,Private dwelling - Town of Cochrane,0,1,1,0
332 SIBBALD ST,T4C 1Z1,1,332 SIBBALD ST,Private dwelling - Town of Cochrane,0,1,1,0
35 HERITAGE HEIGHTS,T4C 2R4,1,35 HERITAGE HEIGHTS,Private dwelling - Town of Cochrane,0,1,1,0
4 249 ROSS AVE,T4C 2J5,1,4 249 ROSS AVE,Private dwelling - Town of Cochrane,0,1,1,0
"#405, 302 QUIGLEY DRIVE",T4C 1X9,1,405 302 QUIGLEY DR,Private dwelling - Town of Cochrane,0,1,1,0
433 RIVER HEIGHTS DR,T4C 0J3,1,433 RIVER HEIGHTS DR,Private dwelling - Town of Cochrane,0,1,1,0
46 BENCHLANDS DR,T4C 1C3,1,46 BENCHLANDS DR,Private dwelling - Town of Cochrane,0,1,1,0
5 QUARTZ CRES,T4C 3C2,1,5 QUARTZ CRES,Private dwelling - Town of Cochrane,0,1,1,0
50 WEST MITFORD CRES,T4C 1L2,1,50 WEST MITFORD CRES,Private dwelling - Town of Cochrane,0,1,1,0
58 BENCHLAND DRIVE,T4C 1C3,1,58 BENCHLAND DR,Private dwelling - Town of Cochrane,0,1,1,0
58 BENCHLAND DR,T4C 1C3,1,58 BENCHLAND DR,Private dwelling - Town of Cochrane,0,1,1,0
6 BOW PLACE,T4C 1M9,1,6 BOW PLACE,Private dwelling - Town of Cochrane,0,1,1,0
6 EAGLEVIEW HTS,T4C 1P5,1,6 EAGLEVIEW HTS,Private dwelling - Town of Cochrane,0,1,1,0
6 GLENPATRICK RD,T4C 1H7,1,6 GLENPATRICK RD,Private dwelling - Town of Cochrane,0,1,1,0
60 SUNRISE WAY,T4C 2S3,1,60 SUNRISE WAY,Private dwelling - Town of Cochrane,0,1,1,0
67 SUNSET CIRCLE,T4C 0C3,1,67 SUNSET CIRCLE,Private dwelling - Town of Cochrane,0,1,1,0
69 RIVER HEIGHTS VIEW,T4C 0E6,1,69 RIVER HEIGHTS VIEW,Private dwelling - Town of Cochrane,0,1,1,0
79 GLENPATRICK CRES,T4C 1G5,1,79 GLENPATRICK CRES,Private dwelling - Town of Cochrane,0,1,1,0
8 EAGLEVIEW GATE,T4C 1P7,1,8 EAGLEVIEW GATE,Private dwelling - Town of Cochrane,0,1,1,0
93 RIVER HEIGHTS VIEW,T4C 0E6,1,93 RIVER HEIGHTS VIEW,Private dwelling - Town of Cochrane,0,1,1,0
BEAUPRE CREEK RD,T4C 1A4,1,BEAUPRE CREEK RD,Private dwelling - Town of Cochrane,0,1,1,0
PAL,T4C 0A5,1,PAL,Private dwelling - Town of Cochrane,0,1,1,0
264 090 RANGE ROAD 71,T4C 1B4,1,264 090 RANGE ROAD 71,Rural Rocky View (NOT Town),0,0,0,1
282128 RANGE ROAD 41,T4C 0N1,1,282128 RANGE ROAD 41,Rural Rocky View (NOT Town),0,0,0,1
PO BOX 1270 STN MAIN 273121 RR42,T4C 1B3,1,PO BOX 1270 STN MAIN 273121 RR42,Rural Rocky View (NOT Town),0,0,0,1
